"ID","ID"
"Review Text","Review Text"
"Comment Details","Comment Details"
"Guest","Guest"
"Posted By","Posted By"
"Status","Status"
"Visible In","Visible In"
"Nickname","Nickname"
"Review Title","Review Title"
"Overall Comment","Overall Comment"
"Administration Response","Administration Response"
"Created at","Created at"
"Save Comment","Save Comment"
"Delete Comment","Delete Comment"
"Edit Comment '%s'","Edit Comment '%s'"
"Created On","Created On"
"Title","Title"
"Comment","Comment"
"Type","Type"
"Product SKU","Product SKU"
"Number of reports","Number of reports"
"Main Review Id","Main Review Id"
"Main Review Link","Main Review Link"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Update Status","Update Status"
"All Comments","All Comments"
"Catalog","Catalog"
"Reviews and Ratings","Reviews and Ratings"
"Customer Comments","Customer Comments"
"Customer Comment","Customer Comment"
"Edit Comment","Edit Comment"
"The comment was removed by another user or does not exist.","The comment was removed by another user or does not exist."
"The comment has been saved.","The comment has been saved."
"An error occurred while saving this comment.","An error occurred while saving this comment."
"The comment has been deleted","The comment has been deleted"
"An error occurred while deleting this comment.","An error occurred while deleting this comment."
"Please select comment(s).","Please select comment(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the selected comment(s).","An error occurred while updating the selected comment(s)."
"Your reply has been added.","Your reply has been added."
"Your reply has been accepted for moderation.","Your reply has been accepted for moderation."
"Error has occurred. Please contact your administrator.","Error has occurred. Please contact your administrator."
"Reply was approved successfully","Reply was approved successfully"
"Reply already approved","Reply already approved"
"Comment On Review","Comment On Review"
"Admin Notification after post Reply (MageWorkshop)","Admin Notification after post Reply (MageWorkshop)"
"Customer Notification after post Reply (MageWorkshop)","Customer Notification after post Reply (MageWorkshop)"
"Setting","Setting"
"Enabled","Enabled"
"Expander Reply","Expander Reply"
"Minimum Count Of Reply Symbols","Minimum Count Of Reply Symbols"
"Maximum Count Of Reply Symbols","Maximum Count Of Reply Symbols"
"Nickname Prefix","Nickname Prefix"
"Auto Approve Replies for Customer Group","Auto Approve Replies for Customer Group"
"Captcha Options","Captcha Options"
"Enable","Enable"
"Email Admin Notification","Email Admin Notification"
"Default Email Receiver","Default Email Receiver"
"New Reply Email Sender","New Reply Email Sender"
"Reply Email Template","Reply Email Template"
"New Reply Email Copy To","New Reply Email Copy To"
"New Reply Copy Method","New Reply Copy Method"
"Email Customer Notification","Email Customer Notification"
"This field depends on 'Settings applied to Customers -> Email Field' or it is necessary that the client has been logged in system.","This field depends on 'Settings applied to Customers -> Email Field' or it is necessary that the client has been logged in system."
"Reply Email Sender","Reply Email Sender"
"Reply Email Blind Copy To","Reply Email Blind Copy To"
"Comma-separated. If empty then email will be send to 'Customer Support'","Comma-separated. If empty then email will be send to 'Customer Support'"
"Nickname can not be empty","Nickname can not be empty"
"Nickname must be min 4 and max 40 characters","Nickname must be min 4 and max 40 characters"
"Title can not be empty","Title can not be empty"
"Title must be min 4 and max 50 characters","Title must be min 4 and max 50 characters"
"Reply can not be empty","Reply can not be empty"
"Reply must be min %s and max %s characters","Reply must be min %s and max %s characters"
"check reply content","check reply content"
"approve reply","approve reply"
"Please enter text of the reply","Please enter text of the reply"
"Something went wrong. Please contact your administrator.","Something went wrong. Please contact your administrator."
"Reply","Reply"
"Cancel","Cancel"
"What kind of abuse are you reporting?","What kind of abuse are you reporting?"
"Continue","Continue"
"Helpful","Helpful"
"Unhelpful","Unhelpful"
"Report spam or abuse","Report spam or abuse"
"Customer","Customer"
"Administrator response","Administrator response"
"Public Key","Public Key"
"Private Key","Private Key"
"Please check ReCaptcha ""Private Key"" configuration in ""Captcha Options"" "
"<strong class=""label"">MageWorkshop CommentOnReview: </strong><strong>Please check ReCaptcha ""Private Key"" configuration in ""Captcha Options"" </strong><a href=""%s"">go to MageWorkshop CommentOnReview configuration</a>","<strong class=""label"">MageWorkshop CommentOnReview: </strong><strong>Please check ReCaptcha ""Private Key"" configuration in ""Captcha Options"" </strong><a href=""%s"">go to MageWorkshop CommentOnReview configuration</a>"
"All Comments","All Comments"
