"Share via email","Share via email"
"Review Wall","Review Wall"
"Reviews on page:","Reviews on page:"
"Reviews Image Lazy Loading:","Reviews Image Lazy Loading:"
"Wall template","Wall template"
"Share Review By Email","Share Review By Email"
"Share Email Template","Share Email Template"
"Email Blind Copy To","Email Blind Copy To"
"Reviews with image","Reviews with image"
"Share Review By Email","Share Review By Email"
"Rated %s out of %s stars. Based on %s Reviews","Rated %s out of %s stars. Based on %s Reviews"
"Max recipients limit exceeded.","Max recipients limit exceeded."
"Maximum %s email addresses allowed.","Maximum %s email addresses allowed."
